Semana,Lunes,Martes,Miércoles,Jueves,Viernes,Mes,observación
1,26,27,28,29,30,January,Inicio de clases (26 de enero)
2,2,3,4,5,6,February,
3,9,10,11,12,13,February,
4,16,17,18,19,20,February,
5,23,24,25,26,27,February,26 Feb: Elección de Personero
6,2,3,4,5,6,March,
7,9,10,11,12,13,March,
8,16,17,18,19,20,March,
9,23,24,25,26,27,March,
10,30,31,1,2,3,April/March,Compensación Semana Santa (días 30-31 Mar y 1 Abr)
11,6,7,8,9,10,April,
12,13,14,15,16,17,April,
13,20,21,22,23,24,April,
14,27,28,29,30,1,May/April,
15,4,5,6,7,8,May,
16,11,12,13,14,15,May,15 May: Día del Educador
17,18,19,20,21,22,May,
18,25,26,27,28,29,May,
19,1,2,3,4,5,June,
20,8,9,10,11,12,June,Fin del primer semestre (14 de junio)
